model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
face_landmarks_trained,388,398,262,94,11235208.0,3470010368.0,1737488896.0,3470010368.0,1737488896.0,,2670.82,512,1024,128,256.0,194.0,post_placement,25,660,127.80 Megabytes/sec,127.80 Megabytes/sec,354.72 Kilobytes/sec,354.72 Kilobytes/sec,1.07,119,256,94,160,0,28,1230784,377344,512,1,1,64,False,False,True,False,False,0,0,N/A,hailo8,,,,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.13145312458067113,0.3111529537331653,,,,0.7578125,0.8130414433239233,0.8835534206140673,0.9229160192403099,0.8590192990038855,0.8994845360824741,0.5672555446139507,0.3866644239653687,,no runtime data,no runtime data,N/A,0.3399669492025587,0.8047105822206014,,no runtime data,no runtime data,no runtime data,no runtime data,no runtime data,50176.0,136.0,0.0,0.0,0.0,0.0
context_0,0.13145312458067113,0.3111529537331653,,0.734375,0.64453125,0.7578125,0.8130414433239233,0.8835534206140673,0.92291601924031,0.8590192990038855,0.8994845360824743,0.5672555446139507,0.3866644239653687,,2670.8153331508274,0.00037441750000000005,0.0007269175000000001,0.3399669492025587,0.8047105822206014,,single context,,,,,50176.0,136.0,0.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util
normalization1,normalization,224,224,1,1,1,1,,,input_layer1,conv1,0,50176.0,,9806.08,40791,,1,1,1,8,1,3,1,,1,1,False,,False,,134.01083374023438,1072.086669921875,face_landmarks_trained/normalization1,0,0,1,0.3413225,0,1,0.4612782299518585,0.1537594050168991,0.1256351551274063,54,1792,context_0,False,0.000341505,0,100352.0,0,8,0.0,1.0,2.0,2.0,-1.0078740119934082,1.0,8,8,16,0.4612782299518585,1.0,0.125,0.27236307063638854,1.0,0.015704394390925788
conv1,conv,224,224,64,1,7,7,2,2,normalization1,maxpool1,3200.0,40140800,,2736.26,146185,54880,13.0,4.0,7.0,64,4,9.0,,1,1,1,False,,False,combined (SPATIAL_W),1167.8086853027344,6432.52001953125,,0.0,0.0,4.0,0.36537499999999995,0,64,0.48957663774490356,0.39428574591875076,0.42706748255766297,24.0,14336,context_0,False,0.0003704425,9600,78675968,0,8,-1.0078740119934082,1.0,-3.6195857524871826,3.082392454147339,0.0,22.655715942382812,8,8,16,0.47358644053676974,1.0,1.0,0.8597750571056545,0.9230769230769231,0.40681859561908396
maxpool1,maxpool,112,112,64,64,3,3,2,2,conv1,conv2 conv3,0,0,,3087.28,129564,,9.0,9.0,9.0,64,0,28.0,,,1,1,False,,False,combined (INPUT_FEATURES),6574.906318664551,536.0433120727539,,0.0,0.0,9.0,0.3679125,0,64,0.6230048570368025,0.841016623708937,0.3358164480818629,281.0,12880,context_0,False,0.0003852325,0,0,0,8,0.0,22.655715942382812,N/A,N/A,0.0,22.655715942382812,8,N/A,N/A,0,0,0,0,0.0,0
conv2,conv,56,56,64,64,3,3,1,1,maxpool1,conv3,36928.0,115806208,,2670.82,149767,129024,17.0,3.0,5.0,64,2,7.0,,1,1,1,False,,False,combined (SPATIAL_W),1378.3971252441406,1072.086669921875,,0.0,0.0,3.0,0.37642,0,64,0.851232020293965,0.26888315876324975,0.8244461314204992,31.0,7168,context_0,False,0.0004010825,73856,231211008,16384,8,0.0,22.655715942382812,-0.1628275066614151,0.12912894785404205,0.0,13.275606155395508,8,8,16,0.8659207108079678,0.8750000036080917,1.0,0.9995189449016443,0.9411764705882353,0.7573163694528761
conv3,conv,56,56,64,64,3,3,1,1,conv2 maxpool1,conv4 conv5,36928.0,115806208,,2850.22,140340,86016,26.0,6.0,10.0,64,3,7.0,,1,1,1,False,,True,combined (),2833.3719024658203,2412.195068359375,,0.0,0.0,6.0,0.38784250000000003,0,64,0.8750746525250949,0.27513299013177556,0.7668444899650847,169.0,11200,context_0,False,0.0004152925,147712,231211008,18432,8,0.0,13.275606155395508,-0.26249074935913086,0.2505464553833008,0.0,21.945323944091797,8,8,16,0.8931851508403819,0.8860113787868013,0.8888888888888886,0.9263310198963817,0.9230769230769231,0.6432747681178931
conv4,conv,56,56,64,64,3,3,1,1,conv3,conv5,36928.0,115806208,,2670.82,149767,129024,18.0,4.0,6.0,64,2,7.0,,1,1,1,False,,False,combined (),1914.4404602050781,1072.086669921875,,0.0,0.0,4.0,0.37474999999999997,0,64,0.8574268188741473,0.4423469677567482,0.7879498761499063,33.0,10752,context_0,False,0.0004328125,73856,231211008,16384,8,0.0,21.945323944091797,-0.16362150013446808,0.14829643070697784,0.0,11.730504035949707,8,8,16,0.8659207108079678,0.8750000036080917,1.0,0.9995189449016443,0.8888888888888888,0.7573163694528761
conv5,conv,56,56,64,64,3,3,1,1,conv4 conv3,conv6 conv7,36928.0,115806208,,2850.22,140340,86016,27.0,7.0,11.0,64,3,14.0,,1,1,1,False,,True,combined (),3369.415237426758,2412.195068359375,,0.0,0.0,7.0,0.3884925,0,64,0.8783214577922115,0.3733623336468424,0.744647047246001,230.0,14784,context_0,False,0.0004481825,147712,231211008,18432,8,0.0,11.730504035949707,-0.3386684060096741,0.3729236125946045,0.0,25.847436904907227,8,8,16,0.8931851508403819,0.8860113787868013,0.8888888888888886,0.9263310198963817,0.8888888888888888,0.6432747681178931
conv6,conv,56,56,128,64,3,3,2,2,conv5,conv8,73856.0,57903104,,2720.05,147056,129024,9.0,3.0,3.0,128,4,6.0,,1,1,1,False,,False,combined (SPATIAL_W),1225.2418975830078,536.0433349609375,,8.0,0.0,3.0,0.3756275,0,128,0.842781878179974,0.19545000170667964,0.7799255506758864,64.0,8192,context_0,False,0.000465235,118784,115605504,8192,8,0.0,25.847436904907227,-0.13366815447807312,0.10467129200696945,0.0,15.2005615234375,8,8,16,0.8870638712813734,1.0,1.0,0.9755952815667654,0.8888888888888888,0.865450992167111
conv7,conv,56,56,128,64,1,1,2,2,conv5,conv8,8320.0,6522880.0,,4423.07,90435,50176.0,2,1,1,64,8,4,1,1,1,1,False,,False,,536.0433349609375,268.02166748046875,face_landmarks_trained/conv7,0,0,1,0.3667825,0,64,0.6539061069488525,0.15852269530296326,0.3948533307198479,32,4096,context_0,False,0.0004537725,8320.0,12845056.0,0,8,0.0,25.847436904907227,-0.18154342472553253,0.17710748314857483,-9.669188499450684,6.341480731964111,8,8,16,0.6539061069488525,1.0,1.0,0.6038379616337376,1.0,0.3948533307198479
conv8,conv,28,28,128,128,3,3,1,1,conv6 conv7,conv9 conv10,147584.0,115705856,,2858.82,139918,86016,25.0,5.0,5.0,128,3,5.0,,1,1,1,False,,True,combined (SPATIAL_W),1148.6642837524414,1206.0975341796875,,24.0,0.0,5.0,0.3837175,0,128,0.8808952891826629,0.09161010682582856,0.7178211376258247,120.0,8704,context_0,False,0.00048608,365568,231211008,18432,8,0.0,15.2005615234375,-0.12753941118717194,0.14499984681606293,0.0,12.65780258178711,8,8,16,0.9162759192180737,0.8750000012759992,0.8888888888888888,0.808962255693472,0.96,0.5784659495302336
conv9,conv,28,28,128,128,3,3,1,1,conv8,conv10,147584.0,115705856,,3212.41,124517,86016,26.0,6.0,6.0,128,3,7.0,,1,1,1,False,,False,combined (),1416.6859512329102,1206.0975341796875,,24.0,0.0,6.0,0.3667925,0,128,0.8807879560268842,0.24058081520100433,0.6051779992752494,136.0,12800,context_0,False,0.00051356,365568,231211008,18432,8,0.0,12.65780258178711,-0.15078306198120117,0.13990387320518494,0.0,10.730459213256836,8,8,16,0.9136156131423167,0.8750000034431683,0.8888888888888887,0.7057819331333718,0.9230769230769231,0.5037142961954816
conv10,conv,28,28,128,128,3,3,1,1,conv9 conv8,conv11 conv12,147584.0,115705856,,3405.79,117447,56448,34.0,6.0,10.0,128,1,10.0,,1,1,1,False,,True,combined (),1407.113754272461,268.02166748046875,,0.0,0.0,6.0,0.3902075,0,128,0.6884175679262946,0.3324899164338906,0.5022892414518529,560.0,9216,context_0,False,0.0005313425,147584,231211008,16384,8,0.0,10.730459213256836,-0.21794401109218597,0.19113680720329285,0.0,18.96625518798828,8,8,16,0.6729162931442261,0.8749999999999999,1.0,0.7841981210814131,0.9411764705882353,0.461737231137675
conv11,conv,28,28,256,128,3,3,2,2,conv10,conv13,295168.0,57852928,,3120.47,128186,75264,13.0,3.0,3.0,256,3,5.0,,1,1,1,False,,False,combined (NORMAL),603.0487518310547,150.76219177246094,,12.0,0.0,3.0,0.36577750000000003,0,256,0.7710271385999826,0.33473622550566995,0.6016319753105929,76.0,6656,context_0,False,0.00055948,182784,115605504,9216,8,0.0,18.96625518798828,-0.07690216600894928,0.07888408750295639,0.0,7.351973533630371,8,8,16,0.7568377256393433,0.875,0.8888888888888888,0.8559028357381799,0.9230769230769231,0.5038285432198266
conv12,conv,28,28,256,128,1,1,2,2,conv10,conv13,33024.0,6472704.0,,4941.75,80943,50176.0,2,1,1,128,8,2,0.8749999973911944,1,1,1,False,,False,,268.02166748046875,134.01083374023438,face_landmarks_trained/conv12,2,0,1,0.35202,0,128,0.7195186614990234,0.08855614811182022,0.3888707059480089,32,2048,context_0,False,0.00054438,28672,12845056.0,0,8,0.0,18.96625518798828,-0.10406962037086487,0.10047807544469833,-5.683781147003174,5.380067825317383,8,8,16,0.7195186614990234,0.875,1.0,0.5404595137780686,1.0,0.3402618677045078
conv13,conv,14,14,256,256,3,3,1,1,conv11 conv12,conv14 conv15,590080.0,115655680,,3019.98,132451,75852,25.0,4.0,7.0,256,3,4.0,,1,1,1,False,,True,combined (NORMAL),447.05176544189453,150.76218795776367,,24.0,0.0,4.0,0.3941875,0,256,0.809496796131134,0.2467811657115817,0.684784223399895,142.0,4352,context_0,False,0.0005959175,365568,231211008,18432,8,0.0,7.351973533630371,-0.08808880299329758,0.09673245251178741,0.0,5.192259311676025,8,8,16,0.8046342706758409,0.875,0.8888911487393485,0.8840345994770623,0.96,0.5532523881257244
